Date;Price;;;;;;
01/03/2010;2317.17;;;;;;
01/10/2010;2287.99;;;;;;
01/17/2010;2205.29;;;;;;
01/24/2010;2147.35;;;;;;
01/31/2010;2141.12;;;;;;
02/07/2010;2183.53;;;;;;
02/14/2010;2243.87;;;;;;
02/21/2010;2238.26;;;;;;
02/28/2010;2326.35;;;;;;
03/07/2010;2367.66;;;;;;
03/14/2010;2374.41;;;;;;
03/21/2010;2395.13;;;;;;
03/28/2010;2402.58;;;;;;
04/04/2010;2454.05;;;;;;
04/11/2010;2481.26;;;;;;
04/18/2010;2530.15;;;;;;
04/25/2010;2461.19;;;;;;
05/02/2010;2265.64;;;;;;
05/09/2010;2346.85;;;;;;
05/16/2010;2229.04;;;;;;
05/23/2010;2257.04;;;;;;
05/30/2010;2219.17;;;;;;
06/06/2010;2243.60;;;;;;
06/13/2010;2309.80;;;;;;
06/20/2010;2223.48;;;;;;
06/27/2010;2091.79;;;;;;
07/04/2010;2196.45;;;;;;
07/11/2010;2179.05;;;;;;
07/18/2010;2269.47;;;;;;
07/25/2010;2254.70;;;;;;
08/01/2010;2288.47;;;;;;
08/08/2010;2173.48;;;;;;
08/15/2010;2179.76;;;;;;
08/22/2010;2173.63;;;;;;
08/29/2010;2233.75;;;;;;
09/05/2010;2242.48;;;;;;
09/12/2010;2315.61;;;;;;
09/19/2010;2381.22;;;;;;
09/26/2010;2370.75;;;;;;
10/03/2010;2401.91;;;;;;
10/10/2010;2468.77;;;;;;
10/17/2010;2479.39;;;;;;
10/24/2010;2507.41;;;;;;
10/31/2010;2578.98;;;;;;
11/07/2010;2518.21;;;;;;
11/14/2010;2518.12;;;;;;
11/21/2010;2534.56;;;;;;
11/28/2010;2591.46;;;;;;
12/05/2010;2637.54;;;;;;
12/12/2010;2642.97;;;;;;
12/19/2010;2665.60;;;;;;
12/26/2010;2652.87;;;;;;
